# ID  RA  Dec  zRS  ENVIRONMENT  
153  146.32958  -0.30622363  0.03645184  4  
152  146.36539  -0.34351527  0.05248393  1  
155  146.23184  0.068229156  0.02160817  1  
154  146.05733  -0.097030167  0.03673035  4  
157  146.8068  0.66563514  0.0200758  4  
156  146.52027  0.87187462  0.02680829  1  
159  148.76194  0.75748407  0.04713756  4  
158  146.79909  0.70274154  0.03053254  4  
112  171.88161  12.142878  0.04595821  1  
83  205.19775  14.024836  0.04265201  4  
399  167.14663  0.21605911  0.04209985  4  
398  167.16509  0.28432082  0.02485563  4  
48  234.68536  9.6142779  0.04389695  4  
49  234.40771  9.3148632  0.03510718  1  
46  234.45205  9.3160396  0.03507989  1  
47  234.60483  9.6409866  0.05480984  4  
44  163.71981  14.423955  0.03323443  4  
45  234.77881  9.2961593  0.04385732  1  
42  161.27916  14.313288  0.03736692  4  
43  164.40662  14.941084  0.04787067  4  
40  161.21976  14.307479  0.03278109  1  
41  161.36694  14.273258  0.03352459  1  
5  150.89093  12.694514  0.02275996  4  
489  199.15411  7.0859093  0.04769605  1  
488  199.14516  7.1207809  0.05075368  1  
487  199.11505  7.0351147  0.05056174  1  
486  199.13505  7.0329006  0.05265401  1  
485  199.25667  6.3570816  0.0236115  1  
484  199.31455  6.4016992  0.02353827  1  
483  199.2907  7.1625574  0.05303094  4  
482  199.32571  7.0389157  0.05275968  1  
481  199.34231  6.8421477  0.0517859  1  
480  199.35533  6.8809183  0.05308791  4  
472  198.01735  8.6672058  0.05053236  1  
473  199.73276  6.5616922  0.04008407  3  
470  197.73855  8.6273624  0.05218987  1  
471  197.93711  8.7510953  0.0510639  1  
476  199.70215  6.94319  0.05352129  4  
477  199.47355  6.9653348  0.04040961  3  
474  199.72198  6.5886549  0.04952318  4  
475  199.52506  6.8044252  0.04019268  3  
478  199.45646  7.167299  0.04984934  1  
479  199.52646  7.1272397  0.05029564  1  
